ITEM_NUMBER,DESCRIPTION
1933862,REESE'S PROTEIN BAR
1761722,RXBAR VARIETY PACK 14CT
865513,THINK PROTEIN VAR 18/2.1Z
1961075,TRUBAR PROTEIN BAR VRTY
1996983,BV 3 FLAVOR ENERGY BITE
1942214,ABERG LUXARDO CHERRY
1730954,LATELIER CHOCO TRUFFLES
1637110,STARBURST ORIGINAL
1940800,LUNAR NY LANTERN
1212179,HERSHEY CHOC SYRP 4/64 OZ
399318,HERSHEY CHOC SYRUP 2/48Z
30570,HERSHEY CHOC SYRUP 7.5LB
1985573,HERSHEY COCOA POUCH 23OZ
8060,SIMPLY 5 SYRUP 2/48OZ
1389899,ANNIE'S ORG. CHEESY 12.5Z
1798566,AVOCADO OIL CHIPS 22OZ
669434,CAPE COD REDUCED FAT CHIP
933402,DORITOS NACHO CHEESE 30OZ
1076302,FLAMIN HOT CHEETOS 28.8OZ
1095734,FRITOS SCOOPS 32 OZ CORN
938492,KS KETTLE CHIPS 32Z
833684,KS ORGANIC TORT CHIPS 40Z
44004,KS TORTILLA STRIPS 48OZ
1536697,KS TORTILLA STRIPS 48OZ
835414,LA FORTALEZA TORT CHP
81115,LAS FORTUNITAS CHIPS 5 LB
1125156,LATEJULY ORG TORT CHP 28Z
1672675,LULU PLANTAIN STRIPS 16OZ
46890,MISSION TORT.ROUNDS 4 LBS
184882,RUFFLES CHDR/SR CRM 27 OZ
309881,RUFFLES ORIGINAL 28 OZ
1873653,RW GARCIA RND CHIP 6CT/2#
1802191,SIETE SEA SALT CHIP 15 OZ
867221,STACYS ORGANIC PITA  28OZ
1669857,SWEET POTATO CHIPS
118216,TORTILLA ROUNDS 3LB BBS
757263,CHEX MIX TRADITIONAL 40OZ
1751772,DOT'S ORIGINAL 35OZ
1050557,KS PNUT BTR PRETZELS 55Z
1060788,SF ORG PRETZEL CRISP 28Z
841948,UTZ HONEYWHEAT BARREL 56Z
506639,UTZ PUB MIX 44 OZ 1.25KG
1810090,ALASKA CHIP 36/1OZ BOX
493094,ANDY CAPPS HOTFRIES
679687,BAKEN-ETS HOT  64CT
1551422,BARE APPLE ORG VRTY 20CT
1856147,BETTER MADE BBQ 50/1 OZ
1810835,BETTER MADE ORIG. 50/1OZ
1958935,BETTER MADE RED HOT
1958957,BM RED HOT BBQ CHIPS
1851140,BOULDER CANYON VARIETY
5135,BUGLES VEND PK     T20XH4
1975586,CAPE COD VARIETY PACK
1955758,CAPE REDUCED FAT 24CT/1Z
